//circle out of workspace
0.002771, 0.006499, -0.044544, -0.034475, 0.045862, 0.000000   16 0 0
0.002884, 0.006647, -0.044547, -0.039309, 0.047614, 0.000000   16 0 0
0.002980, 0.006748, -0.044050, -0.044383, 0.049088, 0.000000   16 0 0
0.003061, 0.006802, -0.043073, -0.049653, 0.050288, 0.000000   16 0 0
0.003126, 0.006814, -0.041643, -0.055073, 0.051216, 0.000000   16 0 0
0.003174, 0.006786, -0.039786, -0.060589, 0.051875, 0.000000   16 0 0
0.003206, 0.006720, -0.037535, -0.066144, 0.052268, 0.000000   16 0 0
0.003222, 0.006620, -0.034922, -0.071677, 0.052397, 0.000000   16 0 0
0.003222, 0.006488, -0.031987, -0.077119, 0.052265, 0.000000   16 0 0
0.003206, 0.006327, -0.028771, -0.082397, 0.051875, 0.000000   16 0 0
0.003174, 0.006139, -0.025319, -0.087431, 0.051229, 0.000000   16 0 0
0.003126, 0.005927, -0.021682, -0.092134, 0.050329, 0.000000   16 0 0
0.003061, 0.005692, -0.017913, -0.096408, 0.049178, 0.000000   16 0 0
0.002980, 0.005436, -0.014073, -0.100146, 0.047777, 0.000000   16 0 0
0.002884, 0.005162, -0.010228, -0.103230, 0.046129, 0.000000   16 0 0
0.002771, 0.004871, -0.006450, -0.105525, 0.044234, 0.000000   16 0 0
0.002642, 0.004564, -0.002820, -0.106882, 0.042094, 0.000000   16 0 0
0.002497, 0.004243, 0.000574, -0.107136, 0.039711, 0.000000   16 0 0
0.002335, 0.003907, 0.003636, -0.106103, 0.037085, 0.000000   16 0 0
0.002158, 0.003558, 0.006264, -0.103583, 0.034216, 0.000000   16 0 0
0.001965, 0.003196, 0.008349, -0.099366, 0.031105, 0.000000   16 0 0
0.001755, 0.002820, 0.009785, -0.093240, 0.027751, 0.000000   16 0 0
0.001529, 0.002431, 0.010475, -0.085008, 0.024155, 0.000000   16 0 0
0.001287, 0.002028, 0.010342, -0.074514, 0.020316, 0.000000   16 0 0
0.001029, 0.001609, 0.009347, -0.061673, 0.016232, 0.000000   16 0 0
0.000755, 0.001174, 0.007505, -0.046509, 0.011902, 0.000000   16 0 0
0.000465, 0.000720, 0.004906, -0.029190, 0.007325, 0.000000   16 0 0
0.000159, 0.000245, 0.001724, -0.010055, 0.002497, 0.000000   16 0 0
